SMILES,LOGS
CCCC=O,-0.15
OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1,-3.32
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,-3.82
CC(=O)NC(CC(O)=O)C(=O)NC(CCC(O)=O)C(O)=O,-1.97
COC1=CC=C2NC=C(CCNC(C)=O)C2=C1,-3.21
N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O,-1.13
COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(OC1O[C@H](CO[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]1O)C=C2O,-2.36
OC(=O)C\C(=C/C(O)=O)C(O)=O,-1.41
CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O,-7.32
CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,-1.58
NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,-1.31
[H]N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],-0.04
CCC(C)C(O)=O,-0.25
[H]OC([H])([H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],0.98
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,-6.02
CC[C@@H](C)[C@H](N)C(O)=O,-0.06
[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-4.05
C\C=C(/C)C(O)=O,-0.08
